bvid,uid,title,tname,pubdate,view,danmaku,reply,favorite,coin,share,like
BV1Q44y1J7eV,10698584,一个视频看懂汉景帝的一生,人文历史,2022-02-20 18:05:00,1156665,10196,1171,9889,43758,1255,43318
BV1b34y127bz,10698584,一个视频看懂贾谊的思想，上集,人文历史,2022-01-29 17:50:12,412929,5014,522,4808,21157,1036,20581
BV1C44y1s7Bv,10698584,一个视频看懂贾谊的一生,人文历史,2022-01-29 17:30:03,618472,2754,773,7597,29691,1357,31909
BV1R34y1R7Pr,10698584,一个视频看懂汉文帝的一生：上集,人文历史,2021-11-30 18:00:12,1543965,8211,1315,11385,44695,2186,48635
BV1Zg411P7E9,10698584,一个视频看懂征服者威廉的一生,单机游戏,2021-11-19 17:00:13,473935,5859,1115,6565,21221,1045,22265
BV1DT4y1R7J5,10698584,一个视频看懂西汉初年的政治格局,人文历史,2021-10-26 18:00:13,1438588,5233,1163,13043,34775,1389,43511
BV1EL4y1a7xn,10698584,一个视频看懂希波战争：下集,人文历史,2021-09-09 18:36:48,432388,7240,1329,7814,36860,855,28424
BV1j44y1k7gr,10698584,一个视频看懂希波战争：中集,人文历史,2021-08-17 16:52:31,468210,5214,868,5942,25180,517,21972
BV18P4y1x7QS,10698584,一个视频看懂希波战争：上集,人文历史,2021-08-06 18:00:14,771966,6058,1023,12058,42136,1306,36788
BV14U4y1V79Q,10698584,一个视频看懂希腊的文明，下集：古风时代,人文历史,2021-07-02 18:00:04,803808,19276,1779,15767,57706,2153,45192
BV1ii4y1P7sZ,10698584,一个视频看懂希腊的文明，上集：爱琴文明,人文历史,2021-03-26 20:10:03,806321,7924,1325,11630,35282,2214,35386
BV1Sf4y167yD,10698584,一个视频看懂波斯崛起,人文历史,2021-02-01 17:46:31,1146622,14703,1955,17850,56526,2629,54818
BV1KU4y147ZQ,10698584,一个视频看懂吕后的一生,人文历史,2021-01-12 20:10:22,1504899,22740,3712,17690,73874,4113,71574
BV1DX4y1u7C6,10698584,一个视频看懂楚汉争霸：下集,人文历史,2020-12-25 19:35:14,1311996,31966,2827,20241,101271,2967,79380
BV1h64y1f7Sg,10698584,一个视频看懂楚汉争霸：上集,人文历史,2020-12-10 17:23:21,1626946,17184,2024,19251,68868,5357,67651
BV1Ja4y1W7Q5,10698584,一个视频看懂秦国崛起,人文历史,2020-11-27 18:17:13,1973411,28773,3310,45858,147603,8761,131325
BV1r5411L7ec,10698584,一个视频看懂朱元璋的一生,人文历史,2020-11-08 17:00:48,2519068,30967,3923,51930,183131,8015,169374
BV1zt42177QH,10698584,一个创作者的五年时光，说两句心里话,人文历史,2024-04-15 19:14:53,225552,1294,1623,3119,18546,560,23354
BV1yW4y1i7gu,10698584,一个视频看懂张良的一生,人文历史,2022-09-14 18:00:05,1600447,18457,2851,30963,73606,7970,74109
BV1HQ4y1e7A9,10698584,一个视频看懂汉文帝的一生：下集,人文历史,2021-12-10 16:21:39,1231691,17248,1841,12670,54811,2116,53113
BV1bZ4y1Z7i4,10698584,一个视频看懂贾谊的思想，下集,人文历史,2022-01-29 18:00:19,304919,4075,679,4015,22214,528,19550
