bvid,uid,title,tname,pubdate,view,danmaku,reply,favorite,coin,share,like
BV1kx4y1E7rL,7481602,这玩意儿，竟然是穿越唐朝的秘密武器！,人文历史,2024-06-05 18:00:00,438313,688,425,3057,1313,180,63838
BV1xD421V75j,7481602,武则天，似乎成了李治唯一的选择《从初唐走向盛唐06》,人文历史,2024-05-22 19:05:41,594116,6303,4314,6958,20560,893,30260
BV1Fb421e78h,7481602,冰川封印解除，大唐宿敌降临！《从初唐走向盛唐05》,人文历史,2024-04-30 19:27:04,779739,6590,5359,10840,28490,1245,41694
BV1Dw4m1174F,7481602,5天4城2800公里，穿越千年！《重返历史现场》,人文历史,2024-04-19 18:00:00,422005,945,390,2552,3113,446,21407
BV1ut421E7cq,7481602,唐高宗李治，凭什么能封禅泰山？《从初唐走向盛唐04》,人文历史,2024-04-12 18:23:23,570043,6137,3584,6717,29057,908,35472
BV1PK421a7Xb,7481602,唐朝最佳男嘉宾原来在这里？细说【唐朝官场那些事儿】,手机游戏,2024-04-11 11:58:09,936842,613,276,2097,738,203,9088
BV1DD421V7LN,7481602,情节跌宕，过程艰辛，在江西看雪山，入深林找古迹《随机访古04》,人文历史,2024-03-29 18:05:00,422043,2277,660,3876,9799,717,13424
BV12K421e7b9,7481602,表面宫斗剧，实际政治惊悚片，武则天如何成为皇后？《从初唐走向盛唐03》,人文历史,2024-03-27 20:12:18,635411,9916,3120,9867,40665,1440,45104
BV1BW421P7Zb,7481602,长孙无忌：他还是个孩子！李治：不，我不是《从初唐走向盛唐02》,人文历史,2024-03-06 19:43:07,811416,6672,3288,9901,36501,1066,43625
BV1EC411z7pQ,7481602,百大UP主团队，打卡穿越十三朝！,人文历史,2024-01-31 18:30:00,339357,1073,553,3330,4974,854,21323
BV1re411J7aA,7481602,贞观之治的美名，他占一半《凌烟阁04》,人文历史,2024-01-19 19:00:18,545925,2393,1193,4294,10368,666,21785
BV1Hi4y1r7yA,7481602,精彩演绎《上下五千年》：这中华上下五千年，有多少话还未言,音乐现场,2024-01-07 14:09:00,964677,657,515,21123,8543,1157,34973
BV1Yw411V7kW,7481602,历史证明，平阳公主家不养闲人《凌烟阁03》,人文历史,2023-12-20 19:12:44,382898,1493,1030,3201,7189,487,18371
BV15H4y1k742,7481602,三千对七万，南宋有何胜算？,人文历史,2023-12-08 18:30:00,744427,3748,1606,7223,5529,743,33647
BV1Ya4y1R7wQ,7481602,随机旅行一箭射中老子的诞生地，当地到底有什么古迹？《随机访古03》,人文历史,2023-12-04 22:17:43,369235,2916,1115,3065,11311,1116,16647
BV1Ub4y1T7iY,7481602,秦叔宝、尉迟敬德：我们这对神仙CP可太有意思了！《凌烟阁02》,人文历史,2023-11-27 19:36:41,476162,3654,1257,3941,10002,647,23225
BV1X94y137Xf,7481602,【解毒08】一人灭一国背后，史书碎片里王玄策的一生,人文历史,2023-11-10 21:06:28,513067,2263,1009,3907,7167,759,22085
BV1xN4y167ao,7481602,凌烟阁第一功臣，也是唐朝最后一位关陇勋贵《凌烟阁01》,人文历史,2023-10-30 18:30:00,817960,4166,1849,5823,10674,919,29662
BV1fG411k7xW,7481602,改史？明君？千古一帝？唐太宗的贞观之治后半场《贞观完结篇》,人文历史,2023-10-27 19:49:52,694366,9322,3215,7149,22495,1427,37367
BV1PH4y197Tx,7481602,千手观音真的有一千只手吗？探秘重庆大足石刻,人文历史,2023-10-23 11:30:00,122264,534,431,1620,2269,851,8999
BV1zw411C7Wv,7481602,为什么唐太宗一生没能封禅？《贞观08》,人文历史,2023-10-19 18:53:39,631938,5638,2054,5765,17631,1061,30675
BV12N4y1Z72W,7481602,报祥瑞，三个UP主要拍片了！一部短剧诞生的幕后,人文历史,2023-09-27 19:00:00,221178,569,756,963,3325,243,12524
